order_id,quantity,item_name,choice_description,item_price,choice_1,choice_2,choice_3,choice_4,choice_5
16,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild), Rice, Black Beans, Sour Cream",$8.99 ,Roasted Chili Corn Salsa (Medium),Fresh Tomato Salsa (Mild),Rice,Black Beans,Sour Cream
16,1,Side of Chips,,$1.69 ,,,,,
17,1,Carnitas Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Fajita Veggies,Cheese
17,1,Bottled Water,,$1.09 ,,,,,
18,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice",$8.75 ,Roasted Chili Corn Salsa,Rice,,,
18,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Cheese, Lettuce",$8.75 ,Roasted Chili Corn Salsa,Cheese,Lettuce,,
18,1,Chips and Guacamole,,$4.45 ,,,,,
18,1,Chips and Tomatillo Green Chili Salsa,,$2.95 ,,,,,
19,1,Barbacoa Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
19,1,Chips,,$2.15 ,,,,,
20,1,Chips and Guacamole,,$4.45 ,,,,,
20,1,Chicken Bowl,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.25 ,Roasted Chili Corn Salsa,Rice,Black Beans,Cheese,Sour Cream
20,1,Steak Burrito,"Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Fresh Tomato Salsa,Rice,Pinto Beans,Cheese,Sour Cream
20,1,Chicken Salad Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Lettuce",$8.75 ,Fresh Tomato Salsa,Fajita Vegetables,Pinto Beans,Lettuce,
21,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Fajita Veggies,Cheese,Sour Cream
21,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Veggies, Cheese",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Rice,Fajita Veggies,Cheese,
21,1,Izze,Blackberry,$3.39 ,Blackberry,,,,
22,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Sour Cream",$8.99 ,Fresh Tomato Salsa (Mild),Roasted Chili Corn Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice
22,1,Chips and Guacamole,,$3.99 ,,,,,
23,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Fajita Veggies,Cheese,Sour Cream
23,2,Canned Soda,Mountain Dew,$2.18 ,Mountain Dew,,,,
24,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Fajita Veggies,Cheese
24,1,Canned Soda,Sprite,$1.09 ,Sprite,,,,
25,1,Steak Bowl,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream",$8.99 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Fajita Veggies,Cheese
25,1,Chips and Fresh Tomato Salsa,,$2.39 ,,,,,
26,1,Barbacoa Soft Tacos,"Fresh Tomato Salsa, Fajita Vegetables, Black Beans, Lettuce",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Black Beans,Lettuce,
26,1,Veggie Burrito,"Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.25 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
27,1,Barbacoa Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
27,1,Chips,,$2.15 ,,,,,
28,1,Chips and Guacamole,,$4.45 ,,,,,
28,1,Steak Soft Tacos,"Fresh Tomato Salsa, Cheese",$9.25 ,Fresh Tomato Salsa,Cheese,,,
28,1,Veggie Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
28,1,Chicken Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Cheese",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,
29,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Fajita Veggies,Cheese
29,1,Steak Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Rice,Cheese,Sour Cream,Lettuce
30,1,Izze,Blackberry,$3.39 ,Blackberry,,,,
30,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Rice,Cheese,,
30,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Fajita Veggies,Cheese,Sour Cream
31,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Black Beans,Sour Cream,
31,1,Side of Chips,,$1.69 ,,,,,
32,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Cheese,Sour Cream
32,1,Chips and Guacamole,,$3.99 ,,,,,
33,1,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream",$8.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Sour Cream
33,1,Chips and Guacamole,,$4.45 ,,,,,
34,1,Chicken Soft Tacos,"Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Rice,Cheese,Sour Cream,Lettuce
34,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Pinto Beans,Cheese
34,1,Chips,,$2.15 ,,,,,
34,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
35,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole",$11.25 ,Roasted Chili Corn Salsa,Rice,Cheese,Lettuce,Guacamole
35,1,Chips,,$2.15 ,,,,,
36,1,Barbacoa Burrito,"Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 ,Fresh Tomato Salsa,Rice,Pinto Beans,Cheese,Sour Cream
36,1,Chicken Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
37,1,Chicken Burrito,"Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese",$8.75 ,Tomatillo Green Chili Salsa,Rice,Black Beans,Sour Cream,Cheese
37,1,Steak Soft Tacos,Tomatillo Red Chili Salsa,$9.25 ,Tomatillo Red Chili Salsa,,,,
38,1,Veggie Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Black Beans,Rice,Fajita Veggies
38,1,Steak Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Rice,Fajita Veggies,Cheese
38,1,Bottled Water,,$1.09 ,,,,,
39,1,Carnitas Burrito,"Fresh Tomato Salsa, Rice, Pinto Beans, Sour Cream, Cheese",$9.25 ,Fresh Tomato Salsa,Rice,Pinto Beans,Sour Cream,Cheese
39,1,Chips and Fresh Tomato Salsa,,$2.95 ,,,,,
40,1,Steak Bowl,"Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole",$11.75 ,Fresh Tomato Salsa,Rice,Black Beans,Cheese,Sour Cream
40,1,Steak Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Cheese, Sour Cream, Guacamole",$11.75 ,Fresh Tomato Salsa,Fajita Vegetables,Cheese,Sour Cream,Guacamole
40,1,Steak Crispy Tacos,"Fresh Tomato Salsa, Sour Cream",$9.25 ,Fresh Tomato Salsa,Sour Cream,,,
41,1,Carnitas Burrito,"Roasted Chili Corn Salsa, Sour Cream, Guacamole",$11.75 ,Roasted Chili Corn Salsa,Sour Cream,Guacamole,,
41,1,Chips and Guacamole,,$4.45 ,,,,,
42,1,Barbacoa Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream",$9.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
42,1,Chips and Guacamole,,$4.45 ,,,,,
43,1,Carnitas Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce",$11.75 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
43,1,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese",$8.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,
44,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Rice, Fajita Vegetables, Sour Cream, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Rice,Fajita Vegetables,Sour Cream,Lettuce
44,1,Chips and Guacamole,,$4.45 ,,,,,
45,1,Steak Burrito,"Tomatillo-Green Chili Salsa (Medium), Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Green Chili Salsa (Medium),Rice,Cheese,Sour Cream,Lettuce
45,1,Steak Bowl,"Tomatillo-Green Chili Salsa (Medium), Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Green Chili Salsa (Medium),Rice,Cheese,Sour Cream,Lettuce
45,1,Chips and Guacamole,,$3.99 ,,,,,
46,1,Veggie Burrito,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Fajita Veggies,Sour Cream
46,1,Nantucket Nectar,Pineapple Orange Banana,$3.39 ,Pineapple Orange Banana,,,,
47,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Fajita Veggies, Sour Cream",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Black Beans,Fajita Veggies,Sour Cream
47,1,Canned Soda,Dr. Pepper,$1.09 ,Dr. Pepper,,,,
48,1,Steak Burrito,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",$9.25 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
48,1,Chips and Guacamole,,$4.45 ,,,,,
49,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Sour Cream
49,1,Chips and Tomatillo Red Chili Salsa,,$2.95 ,,,,,
49,1,Chips and Guacamole,,$4.45 ,,,,,
50,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
50,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Pinto Beans,Rice,Cheese,Sour Cream
51,1,Barbacoa Bowl,"Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium), Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.99 ,Tomatillo-Red Chili Salsa (Hot),Tomatillo-Green Chili Salsa (Medium),Rice,Pinto Beans,Fajita Veggies
51,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium), Rice, Pinto Beans, Cheese, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Tomatillo-Green Chili Salsa (Medium),Rice,Pinto Beans,Cheese
51,1,Canned Soda,Diet Dr. Pepper,$1.09 ,Diet Dr. Pepper,,,,
52,1,Steak Soft Tacos,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Cheese, Sour Cream, Lettuce",$8.99 ,Roasted Chili Corn Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Cheese,Sour Cream,Lettuce
52,1,Chips and Guacamole,,$3.99 ,,,,,
53,1,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Sour Cream,Cheese
53,1,Barbacoa Burrito,"Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce",$9.25 ,Tomatillo Green Chili Salsa,Rice,Black Beans,Sour Cream,Cheese
53,1,Chips and Guacamole,,$4.45 ,,,,,
54,1,Chicken Bowl,"Fresh Tomato Salsa, Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice",$11.25 ,Fresh Tomato Salsa,Guacamole,Cheese,Sour Cream,Fajita Vegetables
54,1,Chips and Guacamole,,$4.45 ,,,,,
55,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Fajita Veggies, Sour Cream",$8.99 ,Roasted Chili Corn Salsa (Medium),Rice,Black Beans,Fajita Veggies,Sour Cream
55,1,Canned Soda,Coca Cola,$1.09 ,Coca Cola,,,,
56,1,Barbacoa Bowl,"Tomatillo Red Chili Salsa, Rice, Pinto Beans, Cheese, Lettuce",$9.25 ,Tomatillo Red Chili Salsa,Rice,Pinto Beans,Cheese,Lettuce
56,1,Chips and Tomatillo Red Chili Salsa,,$2.95 ,,,,,
56,1,Chips and Guacamole,,$4.45 ,,,,,
57,1,Barbacoa Burrito,"Roasted Chili Corn Salsa, Rice, Pinto Beans, Cheese, Guacamole, Lettuce",$11.75 ,Roasted Chili Corn Salsa,Rice,Pinto Beans,Cheese,Guacamole
57,1,Chips and Guacamole,,$4.45 ,,,,,
58,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Pinto Beans,Rice,Cheese,Sour Cream
58,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
59,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream, Guacamole",$10.98 ,Roasted Chili Corn Salsa (Medium),Rice,Black Beans,Sour Cream,Guacamole
60,2,Chicken Salad Bowl,"Tomatillo Green Chili Salsa, Sour Cream, Cheese, Guacamole",$22.50 ,Tomatillo Green Chili Salsa,Sour Cream,Cheese,Guacamole,
61,1,Barbacoa Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
61,1,Chips and Guacamole,,$4.45 ,,,,,
62,1,Chicken Bowl,"Fresh Tomato Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole",$11.25 ,Fresh Tomato Salsa,Rice,Fajita Vegetables,Sour Cream,Cheese
62,1,Chips and Guacamole,,$4.45 ,,,,,
63,1,Chicken Bowl,"Tomatillo Green Chili Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.25 ,Tomatillo Green Chili Salsa,Rice,Sour Cream,Cheese,Guacamole
63,1,Chips and Guacamole,,$4.45 ,,,,,
64,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
64,1,Veggie Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce",$11.25 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Black Beans,Cheese,Guacamole
65,1,Barbacoa Burrito,"Tomatillo Red Chili Salsa, Rice, Sour Cream, Cheese, Guacamole",$11.75 ,Tomatillo Red Chili Salsa,Rice,Sour Cream,Cheese,Guacamole
65,1,Carnitas Bowl,"Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese",$9.25 ,Roasted Chili Corn Salsa,Rice,Fajita Vegetables,Black Beans,Sour Cream
65,1,Chips and Guacamole,,$4.45 ,,,,,
66,1,Steak Burrito,"Tomatillo-Green Chili Salsa (Medium), Rice, Black Beans, Sour Cream, Guacamole",$11.48 ,Tomatillo-Green Chili Salsa (Medium),Rice,Black Beans,Sour Cream,Guacamole
67,2,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",$17.98 ,Tomatillo-Red Chili Salsa (Hot),Rice,Cheese,Sour Cream,Lettuce
67,1,Side of Chips,,$1.69 ,,,,,
68,2,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce",$17.50 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Sour Cream,Cheese
68,1,Chips and Guacamole,,$4.45 ,,,,,
69,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Pinto Beans,Rice,Cheese,Sour Cream
69,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
70,2,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Lettuce",$17.50 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Lettuce,
70,1,Chips and Guacamole,,$4.45 ,,,,,
71,1,Chips and Guacamole,,$4.45 ,,,,,
71,1,Veggie Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce",$11.25 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
71,1,Steak Burrito,"Tomatillo Green Chili Salsa, Rice, Cheese, Guacamole, Lettuce",$11.75 ,Tomatillo Green Chili Salsa,Rice,Cheese,Guacamole,Lettuce
72,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Roasted Chili Corn Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Fajita Veggies
73,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Fajita Veggies,Cheese
73,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce",$10.98 ,Roasted Chili Corn Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Fajita Veggies
73,2,Canned Soda,Diet Coke,$2.18 ,Diet Coke,,,,
74,1,Carnitas Bowl,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",$11.48 ,Roasted Chili Corn Salsa (Medium),Pinto Beans,Rice,Fajita Veggies,Cheese
74,1,Veggie Bowl,"Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Fajita Veggies
74,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
75,1,Chips and Guacamole,,$4.45 ,,,,,
75,1,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Guacamole, Lettuce",$11.25 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Guacamole
75,1,Barbacoa Crispy Tacos,"Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole",$11.75 ,Tomatillo Red Chili Salsa,Rice,Black Beans,Cheese,Sour Cream
75,1,Chicken Burrito,"Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream",$8.75 ,Tomatillo Red Chili Salsa,Rice,Cheese,Sour Cream,
76,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Fresh Tomato Salsa (Mild),Rice,Black Beans,Cheese
76,2,Canned Soda,Diet Dr. Pepper,$2.18 ,Diet Dr. Pepper,,,,
77,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Cheese,Sour Cream
77,1,Nantucket Nectar,Apple,$3.39 ,Apple,,,,
78,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Lettuce",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Lettuce,,,
78,1,Steak Soft Tacos,"Roasted Chili Corn Salsa (Medium), Lettuce",$8.99 ,Roasted Chili Corn Salsa (Medium),Lettuce,,,
